"Dataset Index","Dose","N","Effect"
"ID6",0,59,0
"ID6",6,60,54
"ID6",20,60,59
"ID6",60,60,59
"ID7",0,59,8
"ID7",6,60,11
"ID7",20,60,9
"ID7",60,58,36
"ID8",0,59,3
"ID8",6,59,6
"ID8",20,60,7
"ID8",60,60,10
"ID9",0,59,0
"ID9",6,59,5
"ID9",20,59,3
"ID9",60,57,11
"ID10",0,49,8
"ID10",3.19,50,5
"ID10",15.2,50,27
"ID10",74.9,50,50
"ID11",0,48,0
"ID11",0.24,46,1
"ID11",0.8,46,4
"ID11",2.39,41,15
"ID24",0,50,9
"ID24",11.9,40,6
"ID24",48.2,50,13
"ID24",144.4,50,22
"ID27",0,49,2
"ID27",0.65,50,4
"ID27",3.22,50,6
"ID27",6.31,49,10
"ID30",0,50,5
"ID30",66,50,35
"ID30",278,50,41
"ID30",964,50,46
"ID33",0,10,0
"ID33",15.1,9,0
"ID33",31.9,10,1
"ID33",76.1,12,7
"ID34",0,10,0
"ID34",27.1,9,0
"ID34",55.7,10,2
"ID34",108.6,12,9
"ID37",0,73,15
"ID37",0.44,49,12
"ID37",2.2,49,13
"ID37",22,50,27
"ID43",0,54,0
"ID43",0.065,54,0
"ID43",0.325,55,0
"ID43",1.623,55,1
"ID43",8.117,55,17
"ID46",0,31,11
"ID46",0.71,43,13
"ID46",3.9,35,18
"ID46",34,43,34
"ID47",0,55,0
"ID47",13.3,55,0
"ID47",44.2,56,2
"ID47",132,56,32
"ID48",0,30,0
"ID48",0.13,23,3
"ID48",0.58,27,26
"ID48",2.74,23,23
"ID59",0,80,6
"ID59",0.025,80,9
"ID59",0.05,80,20
"ID59",0.25,30,27
"ID60",0,80,1
"ID60",0.025,80,5
"ID60",0.05,80,9
"ID60",0.25,30,2
"ID61",0,80,6
"ID61",0.025,80,3
"ID61",0.05,80,11
"ID61",0.25,30,12
"ID62",0,80,0
"ID62",0.025,80,1
"ID62",0.05,80,2
"ID62",0.25,30,5
"ID63",0,50,1
"ID63",200,50,13
"ID63",400,50,41
"ID63",500,50,39
"ID69",0,49,13
"ID69",1.4,48,14
