"Dataset Index","Dose","N","Effect"
"ID1","0","50","0"
"ID1","25","50","4"
"ID1","50","50","14"
"ID1","75","50","27"
"ID2","0","50","2"
"ID2","25","50","4"
"ID2","50","50","6"
"ID2","75","50","31"
"ID3","0","50","1"
"ID3","25","50","3"
"ID3","50","50","14"
"ID3","75","50","28"
"ID4","0","50","0"
"ID4","25","50","6"
"ID4","50","50","11"
"ID4","75","50","25"
"ID5","0","50","0"
"ID5","25","50","2"
"ID5","50","50","10"
"ID5","75","50","31"
"ID6","0","50","0"
"ID6","25","50","2"
"ID6","50","50","10"
"ID6","75","50","34"
"ID7","0","50","0"
"ID7","25","50","5"
"ID7","50","50","13"
"ID7","75","50","23"
"ID8","0","50","2"
"ID8","25","50","1"
"ID8","50","50","13"
"ID8","75","50","30"
"ID9","0","50","0"
"ID9","25","50","3"
"ID9","50","50","10"
"ID9","75","50","26"
"ID10","0","50","0"
"ID10","25","50","2"
"ID10","50","50","21"
"ID10","75","50","25"
"ID11","0","50","1"
"ID11","25","50","4"
"ID11","50","50","11"
"ID11","75","50","27"
"ID12","0","50","0"
"ID12","25","50","3"
"ID12","50","50","14"
"ID12","75","50","28"
"ID13","0","50","0"
"ID13","25","50","4"
"ID13","50","50","9"
"ID13","75","50","30"
"ID14","0","50","1"
"ID14","25","50","3"
"ID14","50","50","10"
"ID14","75","50","28"
"ID15","0","50","1"
"ID15","25","50","4"
"ID15","50","50","10"
"ID15","75","50","24"
"ID16","0","50","2"
"ID16","25","50","1"
"ID16","50","50","11"
"ID16","75","50","36"
"ID17","0","50","0"
"ID17","25","50","4"
"ID17","50","50","11"
"ID17","75","50","28"
"ID18","0","50","0"
"ID18","25","50","3"
"ID18","50","50","9"
"ID18","75","50","24"
"ID19","0","50","0"
"ID19","25","50","5"
"ID19","50","50","9"
"ID19","75","50","28"
"ID20","0","50","1"
"ID20","25","50","1"
"ID20","50","50","11"
"ID20","75","50","26"
"ID21","0","50","3"
"ID21","25","50","3"
"ID21","50","50","10"
"ID21","75","50","28"
"ID22","0","50","0"
"ID22","25","50","6"
"ID22","50","50","12"
"ID22","75","50","30"
"ID23","0","50","0"
"ID23","25","50","6"
"ID23","50","50","10"
"ID23","75","50","23"
"ID24","0","50","0"
"ID24","25","50","1"
"ID24","50","50","9"
"ID24","75","50","28"
"ID25","0","50","0"
"ID25","25","50","0"
"ID25","50","50","11"
"ID25","75","50","26"
"ID26","0","50","0"
"ID26","25","50","3"
"ID26","50","50","11"
"ID26","75","50","31"
"ID27","0","50","0"
"ID27","25","50","2"
"ID27","50","50","10"
"ID27","75","50","32"
"ID28","0","50","1"
"ID28","25","50","1"
"ID28","50","50","15"
